Pokemon,Description
BulbasaurFushigidane(フシギダネ)(0001),"It is one of Kanto's starter Pokémon. It has a bulb on its back, which stores nutrients. Since the bulb can photosynthesize, Bulbasaur can go days without eating. As with the rest of its evolutionary line, its bulb has vines the Pokémon uses as tentacles."
IvysaurFushigisō(フシギソウ)(0002),"It is a playable character inSuper Smash Bros. BrawlandSuper Smash Bros. Ultimateas a part of the ""Pokémon Trainer"" fighter. Its bulb has grown into a bud, which it uses to convert sunlight into power. The bud is heavy, to the point of rendering Ivysaur unable to move properly if it has stored enough nutrients, so its hind legs have grown stronger to counter the weight."
VenusaurFushigibana(フシギバナ)(0003),"It is the mascot ofPokémon GreenandLeafGreen.[15]The bud on its back has bloomed into a flower. It has a soothing aroma, and converts sunlight into energy. For this reason, Venusaur is more powerful during the summer. It gained aMega Evolutionin generation VI, and aGigantamax formin generation VIII."
CharmanderHitokage(ヒトカゲ)(0004),"It is one of Kanto's starter Pokémon. From the moment it hatches, there is a flame at the tip of its tail. Still unfamiliar with fire, a Charmander might accidentally burn itself. If its flame goes out, it dies."
CharmeleonRizādo(リザード)(0005),"A feisty Pokémon, it seeks out potential opponents and torments them in battle. It attacks by spewing fire from its mouth, swinging its tail around, or clawing away. Its fire turns bluish-white when it is excited."
CharizardRizādon(リザードン)(0006),"It is a playable character as a part of the ""Pokémon Trainer"" fighter inSuper Smash Bros. BrawlandSuper Smash Bros. Ultimate, a standalone fighter inSuper Smash Bros. for Nintendo 3DS and Wii U, and the mascot ofPokémon RedandFireRed. Its fire is hot enough to melt boulders and glaciers, and it is known to start forest fires by accident, though it will not use it against weaker foes. The flame on its tail can burn underwater, and turns bluish-white if Charizard is angry. It gainedtwo Mega Evolutionsin generation VI, one Fire/Flying-type and one Fire/Dragon-type, and aGigantamax formin generation VIII."
SquirtleZenigame(ゼニガメ)(0007),"It is a playable character inSuper Smash Bros. BrawlandSuper Smash Bros. Ultimateas a part of the ""Pokémon Trainer"" fighter, and one of Kanto's starter Pokémon.[16]After it hatches, its back gradually swells and hardens into a shell. It withdraws into its shell for protection or to sleep, and its grooved, rounded shape reduce its water resistance, allowing it to swim faster. To attack, it sprays foamy water from its mouth."
WartortleKamēru(カメール)(0008),"Because it is bigger and heavier than Squirtle, it has trouble walking, and has to use its furry ears and tail as rudders and balancing rods to swim. It withdraws into its shell to attack, defend itself, and sleep, though it cannot fully withdraw its tail. It is said to be able to live for up to 10,000 years. Older Wartortle have darker tail fur, and may have scars and algae on their shells."
BlastoiseKamekkusu(カメックス)(0009),"It is the mascot ofPokémon Blue.[20]The two cannons on its shell shoot out pressurized jets of water strong enough to shatter thick steel walls, and accurate enough to hit empty cans from over 160 feet away. Blastoise itself can tackle at high speeds. A cruel Pokémon, it deliberately makes itself heavier to withstand its cannons' recoil and crush its opponents. It gained aMega Evolutionin generation VI and aGigantamax formin generation VIII. A Blastoise trading card, which was originally made as a test print before the commercial English cards, was sold for $360,000 in 2021.[21]"
CaterpieKyatapī(キャタピー)(0010),"Its feet have suction pads that allow it to climb slopes, walls, and trees. To protect itself, it releases a stench from its antennae. It camouflages itself in piles of leaves, or tries to scare predators with the eye patterns on its body. Across its life, it eats hundreds of leaves, some bigger than itself. When nearing evolution, it sheds its skin, covers itself with silk, and becomes a cocoon."
MetapodToranseru(トランセル)(0011),"Though hard, Metapod's shell is said to be easy to break open, so it hardens it further when threatened to avoid spilling its thick, liquid innards. It waits for evolution while its cells restructure.Ume Aoki, a Japanese cartoonist who is famous for her work on the mangaHidamari Sketchand the animePuella Magi Madoka Magica, utils a likeness of herself cosplaying as a Metapod in her drawn works.[22]"
ButterfreeBatafurī(バタフリー)(0012),"Its wings are covered in poisonous, water-repelling powder, which it uses to defend itself and fly in the rain. It goes from flower to flower to collect nectar, and rubs honey onto the hairs of its legs to carry back to its nest. It spreads its scales around to defend nearby Caterpie from predators. It competes with Cutiefly for territory. It gained aGigantamax formin generation VIII."
WeedleBīdoru(ビードル)(0013),"A common sight in forests and grassy areas, it has a two-inch poisonous stinger on its head, which it uses to defend itself. It has an acute sense of smell, being able to distinguish leaves it likes from those it dislikes with its big nose. It eats its weight in leaves every day."
KakunaKokūn(コクーン)(0014),"Kakuna remains immobile, but can stick out its stinger in self-defense. The process of its cells' rearrangement raises its body temperature to the point of making it hot to the touch."
BeedrillSupiā(スピアー)(0015),"Swarms of Beedrill set their nest in forests, and attack anything that goes near. It uses its three poisonous stingers to defeat its prey and carry them home. It gained aMega Evolutionin generation VI."
PidgeyPoppo(ポッポ)(0016),"A common and docile Pokémon, it prefers using flapping up sand in opponents' eyes over fighting. Its sense of direction allows it to return home from however far it may be."
PidgeottoPijon(ピジョン)(0017),"A territorial species, it will peck and claw at its opponents. It uses its claws to carry prey like Exeggcute for over 60 miles. It flies in circles, keeping a lookout for prey."
PidgeotPijotto(ピジョット)(0018),"Its wings are strong enough to fly at Mach 2 speed, whip up windstorms strong enough to bend trees, and fly up to 3,300 feet over the air. It skims over the water to hunt for unsuspecting fish Pokémon like Magikarp. Its glossy feathers make it a popular pick among trainers. It gained aMega Evolutionin generation VI."
RattataKoratta(コラッタ)(0019),"It will procreate and form nests anywhere that has enough food; each nest contains at least 40 Rattata. The colony spends entire days scavenging for food. A cautious species, it constantly listens around by moving its ears. Its incisor teeth do not stop growing, so it gnaws on hard objects, like table legs and door frames, to keep them ground down. Due to their commonness and habits of stealing food and gnawing on structures, it and Raticate are considered invasive species. Rattata has a Dark/Normal-typeAlolan form."
RaticateRatta(ラッタ)(0020),"It uses its whiskers to maintain balance, and slows down if they are cut off. Its webbed hind feet act as flippers, allowing it to swim in rivers to hunt or escape from opponents. To keep its teeth ground down, it chews on anything, from machinery to concrete. Like Rattata, Raticate has a Dark/Normal-typeAlolan form."
SpearowOnisuzume(オニスズメ)(0021),"It can fly quickly, but is not adept at it. Its cries can be heard from a mile away, and it uses them to communicate with other Spearow. It flies around warmer climates, looking for bug Pokémon to eat."
FearowOnidoriru(オニドリル)(0022),"Drawings resembling Fearow can be seen ancient murals, implying that it has not evolved since ancient days. Its stamina lets it fly for an entire day, and its long neck and beak are convenient for plucking bug and fish Pokémon."
EkansĀbo(アーボ)(0023),"It uses its tongue to detect its surroundings and look for the scent for its prey. It wraps itself around trees to rest at night. If no trees are available, it coils to be able to respond from any given direction. It preys on bird Pokémon and their eggs and can stretch its jaw to swallow them whole, but eating something too big can leave it too heavy to move."
ArbokĀbokku(アーボック)(0024),"The pattern under its head is similar to a face, and differs by region. Research has shown over 20 different patterns. Its coiling is strong enough to flatten oil drums, and its fangs are used to inject poison into its prey. It can use its pattern or hiss to intimidate opponents. If any part of its body besides its head is cut off, the rest of its body can grow back in weeks. It preys on smaller Pokémon like Wooper, or eggs of bird Pokémon like Pidgey and Spearow."
PikachuPikachū(ピカチュウ)(0025),"Pikachu is the primarymascotof thePokémonfranchise, as well asPokémon YellowandLet's Go, Pikachu!. It is also playable in everySuper Smash Bros.game. It raises its tail to check its surroundings, but may be struck by a lightning bolt in this position. It gathers electricity from the atmosphere, and uses it to roast berries, communicate with other Electric-type Pokémon, and attack its opponents. Groups of Pikachu having their tails raised can inadvertedly cause lightning storms.Cramorantoften swallow Pikachu by accident."
RaichuRaichū(ライチュウ)(0026),"Its tail can be used as a lightning rod to gather electricity, or as a ground to protect itself. It can store and eject up to 100,000 volts, enough to knock out aCopperajah. To avoid physically straining itself, it will discharge excess electricity into the ground, leaving its surroundings burned. Because it evolves via a stone and Pikachu is more popular, Raichu are rarely seen. It has an Electric/Psychic-typeAlolan form. Both forms of Raichu were created byAtsuko Nishida.[23]"
SandshrewSando(サンド)(0027),"Based on theChinese pangolin, Sandshrew is known to curl into a ball to defend itself. It burrows nests into the ground, and only digs back up to look for berries and hunt for bug Pokémon. Sandshrew has an Ice/Steel-typeAlolan form."
SandslashSandopan(サンドパン)(0028),"It can curl into a spiky ball to roll around, attack opponents, and protect itself from heatstroke or attacks. In addition to the spikes on its back, it can use its claws to attack and slash berries for its young. Like Sandshrew, it has an Ice/Steel-typeAlolan form."
Nidoran♀Nidoran♀(ニドラン♀)(0029),"Eggs from both Nidoran lines can contain Nidoran of either gender. It is docile and unwilling to fight, but when encouraged, its horn and barbs can secrete poison. It uses its whiskers to check the wind for predators, and its incisors for chewing through berries."
NidorinaNidorīna(ニドリーナ)(0030),"Its horn grows slowly and it does not like fighting, but when forced to do so, it tends to resort to clawing and biting opponents. It lives in groups with others of its evolutionary line, and chews food for its young."
